Event	ID	Name			Wwise Object Path	Notes
	976947025	incidental_glass			\Default Work Unit\incidental_glass	
	1473084324	vo_narrator			\Default Work Unit\vo_narrator	
	2352049368	radio_drums			\Default Work Unit\radio_drums	
	2717289804	incidental_metal			\Default Work Unit\incidental_metal	
	2974935085	grenade_explosion			\Default Work Unit\grenade_explosion	
	3004847309	amb_main			\Default Work Unit\amb_main	
	3148777447	amb_directional_wind			\Default Work Unit\amb_directional_wind	

Switch Group	ID	Name			Wwise Object Path	Notes
	189681303	SG_Explosion			\Default Work Unit\SG_Explosion	
	2063362250	SG_Incidentals			\Default Work Unit\SG_Incidentals	

Switch	ID	Name	Switch Group			Notes
	1133794587	Near	SG_Explosion			
	1182670505	Mid	SG_Explosion			
	1183803292	Far	SG_Explosion			
	366150593	Switch_01	SG_Incidentals			
	366150594	Switch_02	SG_Incidentals			
	366150595	Switch_03	SG_Incidentals			
	366150596	Switch_04	SG_Incidentals			
	366150597	Switch_05	SG_Incidentals			

Game Parameter	ID	Name			Wwise Object Path	Notes
	957932202	RTPC_Incidental_Delay			\Default Work Unit\RTPC_Incidental_Delay	
	1113248574	RTPC_Incidental			\Default Work Unit\RTPC_Incidental	
	1154568204	RTPC_Amb_DirectionalWind_Vol			\Default Work Unit\RTPC_Amb_DirectionalWind_Vol	
	1781674381	RTPC_Explosion_Close_Distance			\Default Work Unit\RTPC_Explosion_Close_Distance	
	2351799150	RTPC_SoundEmitter_GlobalReverb_Vol			\Default Work Unit\RTPC_SoundEmitter_GlobalReverb_Vol	
	3326687027	RTPC_Grenade_Explosion_Distance			\Default Work Unit\RTPC_Grenade_Explosion_Distance	
	4060993181	RTPC_Amb_Height			\Default Work Unit\RTPC_Amb_Height	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	47675849	VO_Monologue_04	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\VO_Monologue_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\VO_Monologue\VO_Monologue_04		760720
	48732135	amb_wind_01	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\amb_wind_01_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\AMB\DirectionalWind\amb_wind_01		12886970
	92003061	incidental_generic_05	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\incidental_generic_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Incidentals\Incidentals_Glass\incidental_generic_05		186706
	127579209	VO_Monologue_06	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\VO_Monologue_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\VO_Monologue\VO_Monologue_06		780976
	133659364	grenade_explosion_outdoor_mid_main_01	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\grenade_explosion_outdoor_mid_main_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\GrenadeExplosion\Main_Mid\grenade_explosion_outdoor_mid_main_01		236172
	172322429	amb_rustle	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\amb_rustle_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\AMB\Base\amb_rustle		27104276
	199993520	grenade_explosion_outdoor_mid_debris_01	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\grenade_explosion_outdoor_mid_debris_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\GrenadeExplosion\Debris_Mid\grenade_explosion_outdoor_mid_debris_01		713492
	237141208	grenade_explosion_outdoor_close_main_02-001	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\grenade_explosion_outdoor_close_main_02-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\GrenadeExplosion\Main\grenade_explosion_outdoor_close_main_02-001		218552
	248592523	grenade_explosion_outdoor_mid_tail_01	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\grenade_explosion_outdoor_mid_tail_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\GrenadeExplosion\Tail_Mid\grenade_explosion_outdoor_mid_tail_01		1464140
	276802975	grenade_explosion_outdoor_close_debris_01	G:\04_Unity\00_Repos\TechnicalSoundDesignDemo\TSD_WwiseProject\.cache\Windows\SFX\grenade_explosion_outdoor_close_debris_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\GrenadeExplosion\Debris\grenade_explosion_outdoor_close_debris_01		572128
